poi_name,poi_id,category,region,best_source_url,official_description,source_count,matched,method,kind
Islands,padi:3904,natural,,https://www.padi.com/dive-site/egypt/islands/,"This amazing dive site is located south of Mashraba, about 10 minutes drive from Deep Blue Divers, and is made up of beautiful underwater islands connected by coral mazes. Entry to this dive site is made by walking across the reef top lagoon and then either dropping in over the top of the reef, or entering through one of the holes in the reef and swimming through. There are some lovely coral formations in and amongst the pinnacles. Look for blue spotted rays hiding under the coral whilst you are weaving through the pinnacles. It is also common to see shoals of blackfin barracuda and even the odd lone great barracuda. This is a very scenic site and ideal for a long second or third dive of the day - perfect for photographs. Diving this site can be confusing as there are so many different routes to take.",1,False,api,extra_capture
Jackson Reef,padi:24899,natural,,https://www.padi.com/dive-site/saudi-arabia/jackson-reef/,"Jackson Reef, the northernmost of the four main reefs in the Straits of Tiran (10 km northeast of Sharm El Sheikh, Egypt), is a world-renowned dive site famous for fast drift dives, vibrant coral walls, and big pelagic encounters. Depth: 5–40 m (walls drop to 100+ m) Current: Moderate–strong (1–4 knots; drift only) Visibility: 25–35 m Water Temp: 22–28°C Best Season: Aug–Oct (hammerheads); year-round for coral &amp; reef life Type: Vertical wall, drift, coral garden, wreck (Lara) An oval-shaped reef ~1 km from Tiran Island, it features two iconic dives. The southwest “Aquarium” is a sheltered slope with dense soft corals, sea fans, and anthias—perfect for macro and safety stops. The east “Jackson Drift” is a high-speed wall dive along sheer cliffs covered in hard/soft corals, with strong currents attracting pelagics. The Lara Wreck (1985, 20–30 m) lies on the north side, encrusted with corals and home to reef fish.",1,False,api,extra_capture
Lighthouse,padi:1054,natural,,https://www.padi.com/dive-site/egypt/lighthouse-3/,"Located almost exactly in the center of the town, it offers a huge variety of marine life. Starting with schools of Barracudas, it&#x27;s not rare to meet Napoleon Brasses, Octopus, Scorpion and Crocodile fish between giant pinnacles full with soft and hard corals. So many different options to dive this dive site. One of our favourite approaches is coming behind those giant pinnacles, swim over the saddle into an amazing coral garden with huge table corals and gorgonians. The way back leads again over the saddle and with an awesome coloured reef to your right, you will have more than plenty opportunities to feed your camera.",1,False,api,extra_capture
Makadi house reef,padi:18502,natural,,https://www.padi.com/dive-site/egypt/makadi-house-reef/,"The house reef at IDive Makadi Bay in front of Fort Arabesque Resort is one of the best dive site in this area and at the same time it&#x27;s a great place to learn to dive or to do some easy dives if you are already certified. IDive Makadi Bay house reef: The house reef is home to a large variety of marine life, including colorful fish, lion fish, pesci pagliaccio, maccarelli, pesci napoleoni, octopus, leopard ray, stone fish, eagle rays and more and more and very often even turtles. hard and soft corals. Perfect place for underwater photographers. The house reef is also a great place to learn about marine conservation. IDive Makadi Bay is very sensitive to the issue of the environment, becoming an active member of Greenfins for the protection of corals through sustainable tourism. It organizes house reef cleanups and offers a variety of educational programs that teach divers the importance of protecting the reef in Bay.",1,False,api,extra_capture
Malahi Dive Site,padi:22765,natural,,https://www.padi.com/dive-site/egypt/malahi-dive-site/,"Malahi is one of the most exciting dive sites in Marsa Alam, located within the Sataya Reef system in the Red Sea, Egypt. Known for its maze-like coral canyons and towering reef pinnacles, Malahi offers an unforgettable underwater playground for divers of all levels. The site is rich in marine biodiversity, featuring colorful reef fish such as butterflyfish, angelfish, and parrotfish, as well as larger species like barracuda, trevally, and giant groupers. Swim-throughs filled with light and shadow create perfect conditions for underwater photography. Diving at Malahi with Blue Ocean Dive Centers &amp; Resorts Marsa Alam ensures a safe and professionally guided experience, led by multilingual instructors who know the site inside out. Whether you&#x27;re an adventurous beginner or a seasoned diver, Malahi delivers a truly magical Red Sea dive. Explore it with Blue Ocean Dive Centers &amp; Resorts Marsa Alam, your trusted gateway to Egypt’s best dive sites.",1,False,api,extra_capture
Marsa Shagra House Reef,padi:2130,natural,,https://www.padi.com/dive-site/egypt/marsa-shagra-house-reef/,"Marsa Shagra is one of the richest and most pristine house reefs in the south and has been declared a protected area for the last 20 years. Many pictures of species in Red Sea reef guides like Debelius and Collins where taken here. According to Robert Meyer’s author of Collins claims that there are at least 5 species of endemic species living in this protected bay. The bay is occasionally frequented by pelagic species such as dolphins and manta rays. The house reef is approximately 2km from the north to the south, meeting at a natural protected bay in the middle. Dives are available on both the north and south reef by zodiac and directly from the shore. Zodiac pickup is also available.",1,False,api,extra_capture
Marsa Umm Gerifat,padi:24156,natural,,https://www.padi.com/dive-site/egypt/marsa-umm-gerifat/,"Marsa Umm Gerifat serves as the northern house reef for Coraya Divers and is easily accessible via a short, scenic zodiac trip. This sheltered location remains well-protected from the strong currents and high waves of the open sea, ensuring excellent diving conditions all year round. Early risers may be lucky enough to encounter dolphins, and lucky visitors might even spot manta rays or a dugong entering the bay. The reef is home to beautiful hard and soft corals, numerous turtles, colorful reef fish, and a fascinating variety of macro life.",1,False,api,extra_capture
Marsa Umm Gerifat South,padi:24157,natural,,https://www.padi.com/dive-site/egypt/marsa-umm-gerifat-south/,"Marsa Umm Gerifat South, the renowned house reef for Coraya Divers, offers a world-class shore diving experience in Marsa Alam. This sheltered bay features a stunning sloping reef wall that drops into the vibrant blue. Divers and snorkelers will encounter pristine hard and soft coral gardens teeming with life, including clownfish, blue-spotted rays, and hawksbill turtles. The site is famous for frequent sightings of eagle rays and the occasional dugong. With easy entry points and exceptional visibility, it’s a tranquil paradise perfect for both beginner courses and relaxed dives.",1,False,api,extra_capture
Mashraba,padi:1056,natural,,https://www.padi.com/dive-site/egypt/mashraba/,"At the southern end of Dahab bay is “Mashraba” reef. Often overlooked as a dive site, it seems to throw up more surprises than other dive sites. The sandy slope leads to a magnificent “bommie” called Roman’s rock, heading south we pass over some impressive formations before coming to a “family” of beautiful table corals at around 20 meters. Air permitting, you can continue on to an impressive gorgonian fan, before turning at a pinnacle swarming with glass fish and antheas, and then returning along the shallow reef.",1,False,api,extra_capture
Middle Garden,padi:683,natural,,https://www.padi.com/dive-site/egypt/middle-garden/,"Middle Garden is a large sheltered bay. The site is very protected from the weather making it an ideal site for the first holiday dive or for Discover SCUBA diving dives. The fringing reef drops down between 2-3 meters to a large sandy area. This gently sloping sand area is dotted with small coral heads and is a great space to spot bottom-dwellers like the blue spotted sting ray. The main reef runs the length of the bay and gently slopes down into the blue, it is cut by several sandy ‘roads’ which make navigation easy. Middle Garden is an ideal site to have a relaxing dive over the reef with a chance to see if anything is cruising by in the blue. Once in a while Sharm el Sheikh local sites like Middle Garden can surprise you with a sighting of huge turtles, whale sharks or mantas.",1,False,api,extra_capture
Middle Reef,padi:8669,natural,,https://www.padi.com/dive-site/egypt/middle-reef/,"Middle Reef, as it&#x27;s name already indicates, is placed in between Panorama Reef and Abu Kafan. On it&#x27;s north side a drop off with nice coral formations can be found. The south side lowers slowly to the southern dropp off till a dept of 30 meter. Current dives are possible at the west- and east side",1,False,api,extra_capture
Moray Garden,padi:4211,natural,,https://www.padi.com/dive-site/egypt/moray-garden/,"This site is accessible by car from Dahab in about ten minutes. Getting into the water is fairly easy and is done from the beach. After crossing an area of sand then a seagrass, we arrive at a succession of line of corals starting from the beach and sinking towards the sea. the abundance of corals makes it a very colorful site full of marine life. The return to the exit is through a shallow coral garden in which we regularly encounter geometric moray eels.",1,False,api,extra_capture
Napoleon Reef,padi:1057,natural,,https://www.padi.com/dive-site/egypt/napoleon-reef/,"This site is situated in the Laguna, in the area known as the ‘Spit’. This site best reached by boat or zodiac as it lies approximately 450 metres away from the beach. The huge Madrepore tower is separated by a channel from the half submerged reef. It comes up from a sandy sea bed at around 20 metres and is frequented by plentiful fauna and Napoleonfish to whom the site owes its’ name.",1,False,api,extra_capture
Near Garden,padi:682,natural,,https://www.padi.com/dive-site/egypt/near-garden/,Out of all of the Sharm el Sheikh local sites Near Garden is the closest to our jetty – making it ideal for divers to join our dive boat at midday for the afternoon dive. It is located on the southern headland of Middle Garden or the northern headland of Naama Bay. This dive can be done as a mooring dive but is more popular with divers as a semi –drift dive. Divers normally enter where there are several pinnacles making a ridge down the sharp coral slope. You can then head north along the steep reef until it starts to flatten out as you enter Middle Garden. If the dive is planned as a semi-drift you can spend the last minutes of the dive exploring the fringing reef which has lots of small inlets.,1,False,api,extra_capture
Oberoi House Reed,padi:20851,natural,,https://www.padi.com/dive-site/egypt/oberoi-house-reed/,"The only and exclusive dive site in Hurghda Sahl Hasheesh. Oberoi House Reef is a beautiful dive site, as we have more than 5 dives around in wall over 1km. Multiple and varied dives up to a depth of 30 meters. The site consists of dives with the current, dives in the far south and far north, and coral garden dives in the middle of the site.",1,False,api,extra_capture
Palace House Reef,padi:24182,natural,,https://www.padi.com/dive-site/egypt/palace-house-riff/,"Our beautiful house reef is teeming with diverse fish life at various depths. You have six different diving options at our house reef. There&#x27;s a gentle current and two jetties. Our team will bring your diving equipment to the jetty, and you can start diving right away.",1,False,api,extra_capture
Paradise,padi:15272,natural,,https://www.padi.com/dive-site/egypt/paradise-8/,• Easy dive that does not present any kind of problem. • Varied and colorful landscape. • Great development of soft corals. • Richness of reef fauna. • Site suitable for night diving.,1,False,api,extra_capture
Pro Master - House Reef,padi:22601,natural,,https://www.padi.com/dive-site/egypt/pro-master-house-reef/,"The dive site features a sandy beach entrance that provides easy access to the water, making it ideal for divers of all experience levels. As you enter, you’ll notice an abundance of baby corals spread out on both sides, creating a lively underwater scene that’s perfect for observing marine life up close. At a depth of 19 meters, an old wooden boat wreck rests prominently on the seabed, positioned conveniently in front of the dive center. This wreck serves as a key feature for training and exploration, offering a structured environment for practicing skills during check dives or courses. Its location makes it a convenient and reliable option for instructors and students alike, whether you&#x27;re completing a beginner certification or advancing to more specialized training. The combination of the shallow coral area and the wreck creates a versatile setting that caters to different types of dives while maintaining accessibility and simplicity for all divers. see you soon :)",1,False,api,extra_capture
Ras Abu Soma,padi:8665,natural,,https://www.padi.com/dive-site/egypt/ras-abu-soma-4/,This reef is 2 km long and gently slopes down directly from the coast. More than 5 spots invite to pleasant dives. Sometimes a slight current makes drift diving possible. A drop off can be found between 25 to 30 meters. In its southern part the reef opens into the wonderful coral garden of Abu Soma,1,False,api,extra_capture
Ras EL Torfa - Abu Siyal,padi:12663,natural,,https://www.padi.com/dive-site/egypt/ras-el-torfa-abu-siyal/,"A few dives can be down in the area The boat moors in a natural lagoon that forms the most northern part of a sprawling bay. Here a sand strip that starts at 5mt separates the main reef from a series of beds that form a drop-off. Pufferfish and goatfish can be found on the sand patch and the drop off is covered in anthias and other small fish life. Exploring further south you could spot a turtle or two, but on the way back watch out at 9mt for one of the most picturesque pinnacles in this area, complete with a totally undamaged table coral that plays host to the secretive lemon coral goby",1,False,api,extra_capture
Ras Ghamila,padi:20808,natural,,https://www.padi.com/dive-site/egypt/ras-ghamila/,"Ras Ghamila is an interesting place for a fine semi drift or drift dive that is not too difficult. The dives here are usually easy and pleasant and allow you to observe many coral colonies and mixed fauna, both reef and pelagic",1,False,api,extra_capture
Ras Ghamila,padi:22093,natural,,https://www.padi.com/dive-site/egypt/ras-ghamila-2/,"Situated near the southern tip of the Sinai Peninsula, Ras Ghamila is easily accessible from Sharm El-Sheikh, making it a popular destination for divers. The site is known for its diverse marine ecosystem, including vibrant coral reefs, a variety of fish species, and occasionally sightings of larger marine animals like turtles and dolphins. Visibility is generally good, often exceeding 20 meters, which allows for excellent underwater photography. The reefs at Ras Ghamila are rich in hard and soft corals, providing a stunning backdrop for divers and snorkelers alike. The best diving conditions are usually found between April and November when the water temperatures are warmer and marine life is more active.",1,False,api,extra_capture
Ras Katy,padi:687,natural,,https://www.padi.com/dive-site/egypt/ras-katy/,"Ras Katy is the first dive site from the main marina in Sharm el Mina. The boats normally moor between the fringing reef and the top of the main pinnacle, which reaches up to the surface; making it a popular spot for snorkelers as well as divers. There is a nice sheltered sandy area between the fringing reef and pinnacles which has many pairs of Goby and Shrimp. The pinnacles form a line parallel to the reef plate, which are covered in pretty soft and hard corals. Occasionally currents can pick up especially towards the corner in the direction of Temple.",1,False,api,extra_capture
Ras Nasrani,padi:689,natural,,https://www.padi.com/dive-site/egypt/ras-nasrani/,"One of the most northern Sharm el Sheikh local sites is Ras Nasrani. It is a popular site as it has a varied topography and can be dived as a drift, semi-drift or mooring dive. Just around the headland is the most northern site of Ras Gamila, but this exposed site can only be dived in very calm conditions. Generally the site is dived in a northerly direction but this is subject to currents. The fringing reef plate is peppered with large sandy bays and then the reef forms into an extended plateau with a dense coral covering. The plateau is a good place to see passing pelagic fish and the large Gorgonian fan corals which grow perpendicular to the current.",1,False,api,extra_capture
Ras Um Sid,padi:17511,natural,,https://www.padi.com/dive-site/egypt/ras-um-sid/,"Ras Um Sid is possibly one of the most exciting Sharm el Sheikh local dive sites. It’s a site which has a bit of everything including mixed topography, the potential of pelagic sightings and fast currents. If there is very little current it can be dived as a mooring dive, but be careful that the current doesn’t pick up on the corner making it difficult to return to the exit point whether that is the boat or shore. Preferably it is dived as a semi-drift or drift dive. The dive starts with a steep wall which has a beautiful set of Gorgonian fan corals, it then transforms into a huge plateau. The current tends to whip divers around the corner and occasionally can push them out over the plateau. It is on the plateau that divers can often spot large pelagic species cruising by.",1,False,api,extra_capture
Red Sea College - House Reef,padi:670,natural,,https://www.padi.com/dive-site/egypt/red-sea-college-house-reef/,Naama Bay is a huge bay in the center of the Sharm el Sheikh resort and it just happens to be our very special House Reef. The Red Sea Diving College is literally steps away from the beach entry to this site. Due to the shallow incline of the bay and the large soft sandy patches it is used as the premiere training site from PADI Bubblemakers up to PADI IDC training. However it should not be dismissed as just a place to train. Dive a little deeper into the bay and you will be greeted with vast sea grass fields with hundreds of small critters to spot and grazing rays and turtles. There are large coral pinnacles with a plethora of fish life from tiny reflective glass fish to shy sleek Moray Eels.,1,False,api,extra_capture
Red Tooth Trigger Bay,padi:1051,natural,,https://www.padi.com/dive-site/egypt/red-tooth-trigger-bay/,"Entrance from the shore is easy in most weather, it starts off as stone and after a short distance moves onto a sandy slope. Descend and you will instantly find The Garden, as the local Bedouin call this site. Although it is only over a small area this dive is perfect as corals spread from as deep as 50 m right up to 3 m. Descend over the gradual sandy slope and divers will find that they are surrounded instantaneously by huge schools of banner fish and red tooth triggers which is where the dive site got its name. Corals are found in small pinnacles with both soft and hard corals in pristine conditions. Swim over the table corals which are home to scorpion fish, anemone fish, anthias, puffers and many more. For the micro divers in us nudibranches are often seen here including the spanish dancer, while turtles and eagle rays have also been spotted.",1,False,api,extra_capture
Rick´s Reef,padi:1053,natural,,https://www.padi.com/dive-site/egypt/rick-s-reef/,"Rick’s Reef is located just 300 m north of the Canyon. This shallow drift dive follows the shore south to the canyon with some beautiful coral gardens and reefs. Enter into a small opening in the reef table and descend along a beautiful slope filled with salad corals. At 18 metres swim over numerous table corals. Along the wall you will find a number of pinnacles that populate the area filled with Anthias, coral Groupers, Pufferfish and Parrotfish. After approximately 35 minutes the ‘Fish Bowl’ of the Canyon will come into view. The dive ends with a short swim through the coral garden and a sandy lagoon, which is marked by a couple of coral pinnacles.",1,False,api,extra_capture
Saleem,padi:16215,natural,,https://www.padi.com/dive-site/egypt/saleem/,"An easy entry and exit site, shore dive with a collection of soft and hard corals where you can meet a lot of marine life, clear water and quite dive site , remote location so you will not find a lot of diver most of the time it is our group only.",1,False,api,extra_capture
Salem Express,padi:8664,natural,,https://www.padi.com/dive-site/egypt/salem-express/,"The 100 meter sized ferry Salem Express, sunk in December 1991. It is settled on the bottom of the sea on his portside. The bow lies in a depth of 32 meter whereas the propeller lies at only 14 meters below the surface. Till today there are a lot of objects and debris around the ship. The inner ship, which is declared as a funeral site, is prohibited for divers",1,False,api,extra_capture
Shaab Bagul (North and Southward),padi:8663,natural,,https://www.padi.com/dive-site/egypt/shaab-bagul-north-and-southward/,"At Shaab Bagul you will anchor inside a half opened lagoon, from where you can dive either south- or northward. To the north you follow the main reef block in a depth of 10 up to 15 meters. The southern part offers you different reef blocks and experienced divers can even reach drop off in approximately 30 meter. Inside the lagoon, sometimes big stingrays can be found",1,False,api,extra_capture
Shaab Claude,padi:8662,natural,,https://www.padi.com/dive-site/egypt/shaab-claude/,"This small reef close to Shaab Sheer with a maximum depth of 20 meter has it&#x27;s main reef and also a small, long reef with a big gorgonian that starts at 2 meters en goes to 8 meters",1,False,api,extra_capture
Shaab El Erg,padi:8386,natural,,https://www.padi.com/dive-site/egypt/shaab-el-erg/,Shaab El Erg ( Dolphin House ) is a huge horseshoe shaped reef with plenty of different spots to dive and plenty of marine life to see. One of the famous marine mammals to encounter is Indo-Pacific Bottlenose Dolphins. Shaab El Erg is one of the dive sites which is suitable for all diver levels and non-divers.,1,False,api,extra_capture
Shaab El Erg,padi:24336,natural,,https://www.padi.com/dive-site/egypt/shaab-el-erg-2/,"Shaab El Erg is one of the most beloved dive sites in the Northern Red Sea, famous worldwide as the &quot;Dolphin House.&quot; This massive, horseshoe-shaped reef stretches over several kilometers, creating a calm, turquoise lagoon that serves as a natural sanctuary for a resident pod of wild Indo-Pacific bottlenose dolphins. With its shallow depths and crystal-clear visibility, Shaab El Erg is a paradise for underwater photographers and divers of all levels. It provides the perfect balance of easy, relaxing conditions and the heart-pounding excitement of meeting the ocean’s most charismatic residents in the wild.",1,False,api,extra_capture
Shaab Hamdallah,padi:10090,natural,,https://www.padi.com/dive-site/egypt/shaab-hamdallah/,"Shaab Hamdhallah, the most southern reef of Safaga is even one of the most beautiful. The main cone shaped reef block and a smaller block next to it reach the surface. They are added by several other reef blocks which begin in a depth of 16 - 17 meters. So if you have currant, it is spot for preferable experienced divers.",1,False,api,extra_capture
Shaab Quais,padi:8661,natural,,https://www.padi.com/dive-site/egypt/shaab-quais/,Two small coral blocks with many soft corals. The is a big chance of current in the morning and drop off until 40 meters this splendid reef is offering. Only a matter for experienced divers!!,1,False,api,extra_capture
Shaab Sheer East and West,padi:8660,natural,,https://www.padi.com/dive-site/egypt/shaab-sheer-east-and-west/,The dive sites lie at the east and west side of this 2 km long reef where wonderful coral gardens and caves can be admired. The northern part is ideal for drift dives. The outside of the reef slopes down to 40 meters,1,False,api,extra_capture
Shaab Sheer Soraya,padi:8659,natural,,https://www.padi.com/dive-site/egypt/shaab-sheer-soraya-2/,Shaab Sheer Soraya is one of the southern reefs of Safaga. It&#x27;s a smaller reef with maximum depths round about 17 meters. The fish specialty for this site is a huge amount of Red Sea Banner fishes in the north-east of the reef,1,False,api,extra_capture
Shaab Sheer Soraya,padi:22901,natural,,https://www.padi.com/dive-site/egypt/shaab-sheer-soraya/,"Shaab Sheer Soraya is a captivating dive site situated approximately 800 meters south of the main Shaab Sheer reef in the Safaga region of Egypt&#x27;s Red Sea. This compact, round-shaped reef reaches a maximum depth of about 18 meters, making it an excellent choice for beginner to intermediate divers seeking a relaxed and visually engaging experience . Dive Site Features Topography: The reef is predominantly composed of hard corals, interspersed with numerous small caves and grottos. These structures create enchanting light effects and provide shelter for various marine species Marine Life: Divers can expect to encounter a diverse array of marine life, including scorpionfish, moray eels, nudibranchs, pufferfish, porcupinefish, and blue-spotted stingrays. Schools of fusiliers and bannerfish are also commonly observed in the area .",1,False,api,extra_capture
Sharks Bay - House Reef,padi:15677,natural,,https://www.padi.com/dive-site/egypt/sharks-bay-house-reef/,"Our house reef gently slopes down in a series of ledges that makes it an that site for training dives. It is also a great site for photographers wanting to see the abundant marine life. Whale sharks and mantas visit this bay in the springtime; hence, where the name came from. Eagle rays, giant moray and Napoleon are very common here.",1,False,api,extra_capture
shoab sharm,padi:4383,natural,,https://www.padi.com/dive-site/egypt/shoab-sharm/,"Shaab Sharm is undoubtedly one of the highlights of the coastal reefs of Marsa Alam. The exposed reef lies 12 km off the Egyptian coast and measures 700 m at its longest. Its steep walls descend in steps to a depth of over 200 m letting the currents flow freely around the reef, which leads to rich coral growth and occasionally even attracts big fish. However, night dives are not possible here because of these conditions, and the dive site is unsuitable for beginners-at least some diving experience is required. Shaab Sharm is a popular site for diving safaris to the south, and several groups of divers are often found here at the same time.",1,False,api,extra_capture
Siyul Kebira,padi:5046,natural,,https://www.padi.com/dive-site/egypt/siyul-kebira/,"Siyul Kebira or Big Siyul is one of the Northern Red Sea Islands where you can dive 4 or 5 different spots around the island. This dive site is for all divers levels while it has walls, coral garden, lots of shallow lagoons.",1,False,api,extra_capture
SS Dunraven Wreck,padi:679,natural,,https://www.padi.com/dive-site/egypt/ss-dunraven-wreck/,"This wreck of a British Steamer is on the Southern edge of Sha’ab Mahmoud which is also known as Beacon Rock as the wreck is directly below the South Cardinal Beacon. It is about another hour boat ride past Ras Mohammed and is prone to the weather conditions. Once at the reef there is some protection from the waves but it can still be a little rough. The Dunraven was built in 1873 in Newcastle and hit the reef in 1876. It has sunk in 30m of water right next to the reef wall and is completely upside down in two sections. The length is about 80m and it’s about 10m wide. The stern section is in about 29m to the sand and is open in places for those qualified to enter. This leads to a swim through by the side of the ship’s boiler and out where the wreck has broken in half. The exit being usually filled with glass fish in their thousands. The bow section is in shallower water with loads of places to stick your head into, but nowhere to get in. After the bow section the dive is usually done by fining over the hull which is covered in coral and then moving onto the reef wall and the shallows to finish the dive.",1,False,api,extra_capture
SS Thistlegorm,padi:21045,natural,,https://www.padi.com/dive-site/egypt/ss-thistlegorm/,"The SS Thistlegorm is one of the most famous wrecks in the world. Built in 1940, the SS Thistlegorm was a 126 meter long freighter, carrying military equipment during the World War II. The wreck attracts many divers for the amount of the cargo that can be seen and explored. Boots and motorcycles are visible in Hold No. 1. Trucks, armoured vehicles, motorcycles, Wellington boots, rifles, wings, engine exhaust rings and cylinders are visible in Hold No. 2. Off to the port side of the wreck level with the blast area can be found one of the steam locomotives which had been stored as deck cargo and the other locomotive is off the starboard side level with Hold No. 2.",1,False,api,extra_capture
Temple,padi:686,natural,,https://www.padi.com/dive-site/egypt/temple/,"Temple dive site is in the southern area of Sharm el Sheikh local dive sites. It is a nice easy dive with interesting topography which can keep you exploring for ages. The sight as it names suggests is made up of several massive coral blocks which rise up from the sea bed to within meters of the surface. The main block is surrounded by smaller pinnacles making it look like an ancient underwater temple. The dive is usually done as a mooring dive, so the trick is to get your navigation correct, not to miss the main attraction and return to your boat – which is easier said than done.",1,False,api,extra_capture
Thistlegorm Wreck,padi:22103,natural,,https://www.padi.com/dive-site/egypt/thistlegorm-wreck/,"The SS Thistlegorm is one of the most famous wrecks in the world. Built in 1940, the SS Thistlegorm was a 126 meter long freighter, carrying military equipment during the World War II. The wreck attracts many divers for the amount of the cargo that can be seen and explored. Boots and motorcycles are visible in Hold No. 1. Trucks, armoured vehicles, motorcycles, Wellington boots, rifles, wings, engine exhaust rings and cylinders are visible in Hold No. 2. Off to the port side of the wreck level with the blast area can be found one of the steam locomotives which had been stored as deck cargo and the other locomotive is off the starboard side level with Hold No. 2.",1,False,api,extra_capture
Tiger Reef,padi:1052,natural,,https://www.padi.com/dive-site/egypt/tiger-reef/,,1,False,api,extra_capture
Tobia Hamra,padi:8656,natural,,https://www.padi.com/dive-site/egypt/tobia-hamra/,Beautiful corasl fields gave to this place the name Coral Garden. It really is a paradise for making pictures and videos.,1,False,api,extra_capture
Tobia Kebir,padi:10131,natural,,https://www.padi.com/dive-site/egypt/tobia-kebir/,This is a ideal dive site for all level divers. The inner reef offers many sandy spots for beginner exercise. On the outside of this reef small cave hides lots of Glass fish.,1,False,api,extra_capture
Tobia Soraya,padi:10128,natural,,https://www.padi.com/dive-site/egypt/tobia-soraya/,A colorful reef with blocks of different sizes. To discover there is a small cave at 7 meters full of Glass fishes.,1,False,api,extra_capture
Tower,padi:688,natural,,https://www.padi.com/dive-site/egypt/tower/,"Tower is one of the Sharm el Sheikh local dive sites which offers stunning topography with a dramatic U-Shaped vertical wall formation. This site is normally dived as a drift dive in a southerly direction towards Naama Bay, but can also be dived as a shore dive. Drop in on the wall and swim towards the U-shaped cutting. Just before the entry to this open cutting , there is a pinnacle rising up like a ‘tower’ hence the dive sites name. After exploring the vertical canyon and admiring the amazing light the dive continues along the gently reef slope and can finish on the plateau of the site named Sodfa which has a collection of delicate fan corals",1,False,api,extra_capture
Try Dive,padi:25041,natural,,https://www.padi.com/dive-site/egypt/try-dive/,"The Try Dive Hurghada experience with Red Sea Life is the fastest and easiest way to discover scuba diving for the first time in Hurghada, Egypt. This beginner friendly activity allows you to breathe underwater in a safe swimming pool environment, making it the perfect introduction to the world of diving. It is also a great choice for anyone searching for scuba diving hurghada, hurghada diving, diving hurghada, scuba diving Egypt, snorkeling hurghada, and red sea diving. With Red Sea Life, your first underwater experience starts with a professional diving center, trusted diving club, and PADI guidance in Hurghada. If you are looking for a reliable hurghada diving center, scuba store hurghada, or diving center to try scuba diving for the first time, Try Dive Hurghada is the perfect start.",1,False,api,extra_capture
Um Halhala Divesite,padi:22766,natural,,https://www.padi.com/dive-site/egypt/um-halhala-divesite/,"Um Halhala is a hidden gem among the dive sites of Marsa Alam, located in the pristine waters of the Red Sea, Egypt. Known for its peaceful ambiance and untouched coral formations, Um Halhala offers an ideal dive for those seeking calm conditions and rich biodiversity. Divers can explore vibrant reefs teeming with butterflyfish, angelfish, parrotfish, and anthias, while encounters with groupers, trevally, and barracuda add excitement to the dive. Blue-spotted stingrays, moray eels, and octopus are commonly found hiding among the coral structures. The site’s colorful hard and soft corals create a breathtaking underwater landscape, perfect for underwater photography. With Blue Ocean Dive Centers &amp; Resorts Marsa Alam, divers enjoy safe and expertly guided tours led by experienced instructors. Discover the untouched beauty of Um Halhala with Blue Ocean, your trusted partner for unforgettable diving adventures in Marsa Alam, Red Sea, Egypt.",1,False,api,extra_capture
Um Sid,padi:3905,natural,,https://www.padi.com/dive-site/egypt/um-sid/,"Umm Sid features abundant fish life and a variety of reef structures which are all in exceptional condition as the site was not dived as frequently in the past as others in Dahab. Entry is through a wide corridor carved into a steeply sloping reef. Dive around and beneath a massive coral tongue until you reach a sandy slope inhabited by garden eels. Follow the slope down into a beautiful coral garden, for advanced divers descend down to 30 meters and view the spectacular giant gorgonians. Here you can spot small longnose hawk fish. Ascend up to 18 meters and end the dive by a slow excursion over the table corals and along a reef wall which is covered in soft corals and anthias, look closely and spot the number of nudibranchs of all varieties.",1,False,api,extra_capture
Umm Gamar,padi:22671,natural,,https://www.padi.com/dive-site/egypt/umm-gamar/,"Umm Gamar is also referred to as Umm Gamaar. It means ‘ Mother of the Moon’, allegedly alluding to the crescent shaped wedge of the island. Umm Gamar, surrounded by coral, is approximately 80 minutes sailing from El Gouna to the east and located in open sea. Therefore experience is required for the dramatic deep wall, vertically plungung into deep blue. Descending here is sheer delightful. The moorings are situated over the south plateau. The east side comprosis a stunningly deep wall. It is accentuated by formations of coral of the soft kind. They reach out towards the blue. Photographers won’t be able to ignore the first two formations, perforated with cracks, attracting busy fish life. The next formation features a cavern with a sandy ledgeat its base at around 27 meters.",1,False,api,extra_capture
Umm Usk,padi:1872,natural,,https://www.padi.com/dive-site/egypt/umm-usk/,"Umm Usk or Onghosh as the Red Sea Locals name it. This reef is a horseshoe shaped reef with the open ends of the horseshoe pointing south. It is an ideal site for night dives, confined water training for beginner diver and Dolphin watch. This site is recommended for all levels",1,False,api,extra_capture
yolanda house reef,padi:20191,natural,,https://www.padi.com/dive-site/egypt/yolanda-house-reef/,"Yolanda Reef is the richest coral garden in Ras Mohammed and one of the world&#x27;s best dive sites. Shark and Yolanda reef has a small wall coming from the surface that forms a plateau from 12 to 20m. Many small pinnacles with colorful soft corals and abundant marine life can be found on the plateau. The ship Yolanda crashed on the reef in the 1980s and lay on its side until a storm pushed it over the edge and down to 180m. Some remains of the ship and its cargo still lie in shallow water. Yolanda carried toilets, bathtubs, and sinks, all now encrusted with corals and home to Blue Spotted Stingrays, Scorpion and Stone Fish, Giant Morays, and the resident Napoleon Wrasse.",1,False,api,extra_capture
