poi_name,poi_id,source_url,official_description,extra_attrs,matched,method
Lighthouse,padi:1054,https://www.padi.com/dive-site/egypt/lighthouse-3/,"Located almost exactly in the center of the town, it offers a huge variety of marine life. Starting with schools of Barracudas, it&#x27;s not rare to meet Napoleon Brasses, Octopus, Scorpion and Crocodile fish between giant pinnacles full with soft and hard corals. So many different options to dive this dive site. One of our favourite approaches is coming behind those giant pinnacles, swim over the saddle into an amazing coral garden with huge table corals and gorgonians. The way back leads again over the saddle and with an awesome coloured reef to your right, you will have more than plenty opportunities to feed your camera.","{""dive_types"": ""Beach, Reef, Wall"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Bannerfish Bay,padi:1055,https://www.padi.com/dive-site/egypt/bannerfish-bay/,"Named after the Bannerfish cruising the bay by day and by night, and a site rich in different habitats and sea life. From seagrass hosting Seahorses and Turtles, sandy slopes full of Flounders, ghost Pipefish, Seamoths and Frogfishes to mini reefs rich in biodiversity (Octopus, Morays and a large variety of Shrimps and Scorpionfish). A must for beginners as well as experienced divers, marine biologist fanatics and photographers. The bay also offers great training sites with sand patches and a buoyancy park for advanced training.","{""dive_types"": ""Beach, Drift, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Mashraba,padi:1056,https://www.padi.com/dive-site/egypt/mashraba/,"At the southern end of Dahab bay is “Mashraba” reef. Often overlooked as a dive site, it seems to throw up more surprises than other dive sites. The sandy slope leads to a magnificent “bommie” called Roman’s rock, heading south we pass over some impressive formations before coming to a “family” of beautiful table corals at around 20 meters. Air permitting, you can continue on to an impressive gorgonian fan, before turning at a pinnacle swarming with glass fish and antheas, and then returning along the shallow reef.","{""dive_types"": ""Beach, Reef, Wall"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Napoleon Reef,padi:1057,https://www.padi.com/dive-site/egypt/napoleon-reef/,"This site is situated in the Laguna, in the area known as the ‘Spit’. This site best reached by boat or zodiac as it lies approximately 450 metres away from the beach. The huge Madrepore tower is separated by a channel from the half submerged reef. It comes up from a sandy sea bed at around 20 metres and is frequented by plentiful fauna and Napoleonfish to whom the site owes its’ name.","{""dive_types"": ""Drift, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Caves,padi:1126,https://www.padi.com/dive-site/egypt/caves-2/,"The entry to the Caves is a giant stride off the ledge and into the deep blue. The Caves can only be dived in calm conditions as jumping off the ledge can be quite tricky when there are waves crashing on the shore. Once in the water the cave is directly below you and on both the left and right side you will find a shallow reef. The reef that circles the cave is just as attractive as the cave itself with both soft and hard corals being abundant. Here you will often spot large groupers, scorpionfish and morays and a tiger shark has been spotted on a number of occasions. Enter the cave and swim to the back then turn and watch the light shine through the swarms of anthias and bannerfish swimming upside down on the ceiling of the cave, a perfect spot for your safety stop!","{""dive_types"": ""Cave, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
El Shugarat,padi:1127,https://www.padi.com/dive-site/egypt/el-shugarat/,"El Shugarat is also known as little trees in Arabic, and you will see why. This dive is one you can only made by boat. The captain will drop you off right next to the reef. Descend down and swim along a beautiful reef wall until you come to a sandy bottom. On the deep side of the sandy bottom at around 16 m you will find an impressive open canyon. When you descend between the walls off the canyon, at around 30 m two big black corals will come into view on each side, take time to look for the long nose hawkfish. Exit the canyon to the left and you will swim in to a virtual forest of gorgonian fan corals. As you are flying over this amazing site you will see them scattered down the reef wall out of sight and into the deep. Unbelievable. As you slowly ascend while still soaring over this forest you will return back to the reef table then enter one of the most beautiful lagoons in Dahab. You can see giant table corals and all kinds of life in and around this lagoon. Once returned to the reef wall you see the last set of gorgonians and turning back into the lagoon in search for nudibranches, blue-spotted rays, crocodile fish and many other species. On the end of the lagoon you reach the canyon so take time to throw a last look inside and to get ready for the safety stop.","{""dive_types"": ""Drift, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Gubal Island,padi:1868,https://www.padi.com/dive-site/egypt/gubal-island/,"Bluff point is a steep wall dive that follows the coastline. There are plenty of small passages and inlets in the rock that hides away a lot of marine life. The reef is full of glassfish, butterflyfish, crocodilefish and a flat-headed scorpionfish. The wreck itself isn&#x27;t much to look at, but it serves as an attraction for marine life.","{""dive_types"": ""Wreck, Drift, Reef, Wall"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Umm Usk,padi:1872,https://www.padi.com/dive-site/egypt/umm-usk/,"Umm Usk or Onghosh as the Red Sea Locals name it. This reef is a horseshoe shaped reef with the open ends of the horseshoe pointing south. It is an ideal site for night dives, confined water training for beginner diver and Dolphin watch. This site is recommended for all levels","{""dive_types"": ""Drift, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Marsa Shagra House Reef,padi:2130,https://www.padi.com/dive-site/egypt/marsa-shagra-house-reef/,"Marsa Shagra is one of the richest and most pristine house reefs in the south and has been declared a protected area for the last 20 years. Many pictures of species in Red Sea reef guides like Debelius and Collins where taken here. According to Robert Meyer’s author of Collins claims that there are at least 5 species of endemic species living in this protected bay. The bay is occasionally frequented by pelagic species such as dolphins and manta rays. The house reef is approximately 2km from the north to the south, meeting at a natural protected bay in the middle. Dives are available on both the north and south reef by zodiac and directly from the shore. Zodiac pickup is also available.","{""dive_types"": ""Beach"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Islands,padi:3904,https://www.padi.com/dive-site/egypt/islands/,"This amazing dive site is located south of Mashraba, about 10 minutes drive from Deep Blue Divers, and is made up of beautiful underwater islands connected by coral mazes. Entry to this dive site is made by walking across the reef top lagoon and then either dropping in over the top of the reef, or entering through one of the holes in the reef and swimming through. There are some lovely coral formations in and amongst the pinnacles. Look for blue spotted rays hiding under the coral whilst you are weaving through the pinnacles. It is also common to see shoals of blackfin barracuda and even the odd lone great barracuda. This is a very scenic site and ideal for a long second or third dive of the day - perfect for photographs. Diving this site can be confusing as there are so many different routes to take.","{""dive_types"": ""Beach, Pinnacle, Sandy bottom"", ""common_sightings"": ""Barracuda, Sea turtle, Coral""}",false,api
Um Sid,padi:3905,https://www.padi.com/dive-site/egypt/um-sid/,"Umm Sid features abundant fish life and a variety of reef structures which are all in exceptional condition as the site was not dived as frequently in the past as others in Dahab. Entry is through a wide corridor carved into a steeply sloping reef. Dive around and beneath a massive coral tongue until you reach a sandy slope inhabited by garden eels. Follow the slope down into a beautiful coral garden, for advanced divers descend down to 30 meters and view the spectacular giant gorgonians. Here you can spot small longnose hawk fish. Ascend up to 18 meters and end the dive by a slow excursion over the table corals and along a reef wall which is covered in soft corals and anthias, look closely and spot the number of nudibranchs of all varieties.","{""dive_types"": ""Beach, Reef, Sandy bottom"", ""common_sightings"": ""Scorpionfish, Garden eels, Eels, Moray eel, Gorgonian fan, Coral""}",false,api
Moray Garden,padi:4211,https://www.padi.com/dive-site/egypt/moray-garden/,"This site is accessible by car from Dahab in about ten minutes. Getting into the water is fairly easy and is done from the beach. After crossing an area of sand then a seagrass, we arrive at a succession of line of corals starting from the beach and sinking towards the sea. the abundance of corals makes it a very colorful site full of marine life. The return to the exit is through a shallow coral garden in which we regularly encounter geometric moray eels.","{""dive_types"": ""Beach, Reef, Wall"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
shoab sharm,padi:4383,https://www.padi.com/dive-site/egypt/shoab-sharm/,"Shaab Sharm is undoubtedly one of the highlights of the coastal reefs of Marsa Alam. The exposed reef lies 12 km off the Egyptian coast and measures 700 m at its longest. Its steep walls descend in steps to a depth of over 200 m letting the currents flow freely around the reef, which leads to rich coral growth and occasionally even attracts big fish. However, night dives are not possible here because of these conditions, and the dive site is unsuitable for beginners-at least some diving experience is required. Shaab Sharm is a popular site for diving safaris to the south, and several groups of divers are often found here at the same time.","{""dive_types"": ""Drift, Pinnacle, Reef, Wall, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Siyul Kebira,padi:5046,https://www.padi.com/dive-site/egypt/siyul-kebira/,"Siyul Kebira or Big Siyul is one of the Northern Red Sea Islands where you can dive 4 or 5 different spots around the island. This dive site is for all divers levels while it has walls, coral garden, lots of shallow lagoons.","{""dive_types"": ""Drift, Reef, Wall"", ""common_sightings"": ""Stonefish, Frogfish, Dolphins""}",false,api
El Mina wreck,padi:5135,https://www.padi.com/dive-site/egypt/el-mina-wreck/,"Rests on a rocky seabed sloping from 25 meters under the bow to 32 meters at the stern. The wreck lies on a northwest-southeast axis on her portside. Before you dive it is recommended to read up on the dramatic history of the wreck. It is usually calm here; in fact the wreck is a very good bad weather alternative for those turning back from a blown out trip to the wrecks at Abu Nuhas. Current can scream through here though from the north, but there is always shelter behind the decks of the ship. Should the current be ripping, please remember to monitor your air frequently. The wreck is only 60 meters to 70 meters long, so no need to rush. The aft section is bristling with winches and anti-aircraft guns whilst the fore-deck guns have been sheared off. The blast-hole area is suitable for penetration, though elsewhere it is inadvisable. All around, on the seabed are live shells – look but don’t touch.","{""dive_types"": ""Wreck"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Anar Dive Center house reef,padi:7376,https://www.padi.com/dive-site/egypt/anar-dive-center-house-reef/,"Nice dive for beginner and experience divers. The marine landscape of the reef is a beautiful wall dropping to a depth of more than 180 meters. Extraordinarily rich in multicoloured corals: one of the most concentrated growths on this part of the coast. In particular - the pink soft corals for which the site is named. Dive at an average depth of about 15 m, this is where you will see the largest concentration of soft corals","{""dive_types"": ""Cave, Beach, Pinnacle, Reef, Sandy bottom, Wall"", ""common_sightings"": ""Tuna, Jackfish, Leopard shark, Blacktip reef shark, Turtle, Dolphins, Lobster, Octopus, Nudibranch, Muray""}",false,api
Shaab El Erg,padi:8386,https://www.padi.com/dive-site/egypt/shaab-el-erg/,Shaab El Erg ( Dolphin House ) is a huge horseshoe shaped reef with plenty of different spots to dive and plenty of marine life to see. One of the famous marine mammals to encounter is Indo-Pacific Bottlenose Dolphins. Shaab El Erg is one of the dive sites which is suitable for all diver levels and non-divers.,"{""dive_types"": ""Reef, Sandy bottom"", ""common_sightings"": ""Dolphins""}",false,api
Tobia Hamra,padi:8656,https://www.padi.com/dive-site/egypt/tobia-hamra/,Beautiful corasl fields gave to this place the name Coral Garden. It really is a paradise for making pictures and videos.,"{""dive_types"": ""Reef, Sandy bottom, Wall, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Shaab Sheer Soraya,padi:8659,https://www.padi.com/dive-site/egypt/shaab-sheer-soraya-2/,Shaab Sheer Soraya is one of the southern reefs of Safaga. It&#x27;s a smaller reef with maximum depths round about 17 meters. The fish specialty for this site is a huge amount of Red Sea Banner fishes in the north-east of the reef,"{""dive_types"": ""Drift, Reef, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Shaab Sheer East and West,padi:8660,https://www.padi.com/dive-site/egypt/shaab-sheer-east-and-west/,The dive sites lie at the east and west side of this 2 km long reef where wonderful coral gardens and caves can be admired. The northern part is ideal for drift dives. The outside of the reef slopes down to 40 meters,"{""dive_types"": ""Wreck, Drift, Reef, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Shaab Quais,padi:8661,https://www.padi.com/dive-site/egypt/shaab-quais/,Two small coral blocks with many soft corals. The is a big chance of current in the morning and drop off until 40 meters this splendid reef is offering. Only a matter for experienced divers!!,"{""dive_types"": ""Drift, Reef, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Shaab Claude,padi:8662,https://www.padi.com/dive-site/egypt/shaab-claude/,"This small reef close to Shaab Sheer with a maximum depth of 20 meter has it&#x27;s main reef and also a small, long reef with a big gorgonian that starts at 2 meters en goes to 8 meters","{""dive_types"": ""Drift, Pinnacle, Reef, Sandy bottom, Wall, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Shaab Bagul (North and Southward),padi:8663,https://www.padi.com/dive-site/egypt/shaab-bagul-north-and-southward/,"At Shaab Bagul you will anchor inside a half opened lagoon, from where you can dive either south- or northward. To the north you follow the main reef block in a depth of 10 up to 15 meters. The southern part offers you different reef blocks and experienced divers can even reach drop off in approximately 30 meter. Inside the lagoon, sometimes big stingrays can be found","{""dive_types"": ""Reef, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Salem Express,padi:8664,https://www.padi.com/dive-site/egypt/salem-express/,"The 100 meter sized ferry Salem Express, sunk in December 1991. It is settled on the bottom of the sea on his portside. The bow lies in a depth of 32 meter whereas the propeller lies at only 14 meters below the surface. Till today there are a lot of objects and debris around the ship. The inner ship, which is declared as a funeral site, is prohibited for divers","{""dive_types"": ""Wreck, Drift, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Ras Abu Soma,padi:8665,https://www.padi.com/dive-site/egypt/ras-abu-soma-4/,This reef is 2 km long and gently slopes down directly from the coast. More than 5 spots invite to pleasant dives. Sometimes a slight current makes drift diving possible. A drop off can be found between 25 to 30 meters. In its southern part the reef opens into the wonderful coral garden of Abu Soma,"{""dive_types"": ""Drift, Reef, Sandy bottom, Wall, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Middle Reef,padi:8669,https://www.padi.com/dive-site/egypt/middle-reef/,"Middle Reef, as it&#x27;s name already indicates, is placed in between Panorama Reef and Abu Kafan. On it&#x27;s north side a drop off with nice coral formations can be found. The south side lowers slowly to the southern dropp off till a dept of 30 meter. Current dives are possible at the west- and east side","{""dive_types"": ""Drift, Reef, Sandy bottom, Wall, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Emperor Divers House Reef,padi:9951,https://www.padi.com/dive-site/egypt/emperor-divers-house-reef-2/,"An awesome dive site that fits all levels, from beginner course to technical diving","{""dive_types"": ""Beach"", ""common_sightings"": ""Green sea turtles""}",false,api
Abu Soma Garden,padi:10089,https://www.padi.com/dive-site/egypt/abu-soma-garden/,This is a beautiful long reef what goes from 1 meter slowly till 30 meters dept and is on the south side of the diving reef Ras Abu Soma. A lot of different corals you will see and sometimes you see a eagly ray or barracudas passing by. Swimming murene and many small fish you will see during your diving. At dept you will have some more sand where you can find crocodile fish,"{""dive_types"": ""Reef, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Shaab Hamdallah,padi:10090,https://www.padi.com/dive-site/egypt/shaab-hamdallah/,"Shaab Hamdhallah, the most southern reef of Safaga is even one of the most beautiful. The main cone shaped reef block and a smaller block next to it reach the surface. They are added by several other reef blocks which begin in a depth of 16 - 17 meters. So if you have currant, it is spot for preferable experienced divers.","{""dive_types"": ""Drift, Pinnacle, Reef, Wall, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Abu Kafan North,padi:10127,https://www.padi.com/dive-site/egypt/abu-kafan-north/,Abu Kafan is one of the most beautiful places here in Safaga. The north place has a great plateau that offers a drop off with beautiful black corals.,"{""dive_types"": ""Drift, Reef, Wall, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Tobia Soraya,padi:10128,https://www.padi.com/dive-site/egypt/tobia-soraya/,A colorful reef with blocks of different sizes. To discover there is a small cave at 7 meters full of Glass fishes.,"{""dive_types"": ""Pinnacle, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Tobia Kebir,padi:10131,https://www.padi.com/dive-site/egypt/tobia-kebir/,This is a ideal dive site for all level divers. The inner reef offers many sandy spots for beginner exercise. On the outside of this reef small cave hides lots of Glass fish.,"{""dive_types"": ""Reef, Sandy bottom, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Gamul Kebir,padi:10134,https://www.padi.com/dive-site/egypt/gamul-kebir-2/,"In the north of Gamul Kebir there are different blocks with beautiful soft corals. As you often can see a group of Barracudas, that&#x27;s why it&#x27;s also called Barracuda House. Nice sea grass is in between the blocks. In winter time the strong wind mostly makes diving impossible but at the southern reef it is normally easy to dive","{""dive_types"": ""Reef, Sandy bottom, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Gamul Soraya,padi:10135,https://www.padi.com/dive-site/egypt/gamul-soraya/,"Gamul Soraya is a small coral block. The outer side is great to dive. This dive site has different blocks that goes south side. Those blocks are looking stunning and during the dive, when looking in the blue water there you have sometimes an eagle ray","{""dive_types"": ""Drift, Pinnacle, Reef, Sandy bottom, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Amphoras Dive Site,padi:10624,https://www.padi.com/dive-site/egypt/amphoras-dive-site/,"Great place for diving beginners and professionals. A variety of corals and fish will make underwater time interesting and unforgettable. You can meet turtle, stingray, lionfish and many other fish. The maximum depth is 170 meters. There are shallow caves.","{""dive_types"": ""Cave, Beach, Reef, Wall, Archaeological, Cavern"", ""common_sightings"": ""Tuna, Jackfish, Turtle, Dolphins, Muray""}",false,api
El Fanadir North,padi:11454,https://www.padi.com/dive-site/egypt/el-fanadir-north/,"El Fanadir is a reef stretching for 3 kilometers and is around 4 kilometers away from shore and has to be done by boat. The reef has a wall on the north East sides, full of corals and fish. There is a sand bottom between the wall and the drop off where you will find patches of corals. The drop off is paralel to the wall and starts at 18 meters going to 30+. Also there is a shallow sandy lagoon on the south east side of the reef, perfect for beginners.","{""dive_types"": ""Drift, Reef, Sandy bottom, Wall, Ocean"", ""common_sightings"": ""Boxfish / pufferfish, Scorpionfish, Lionfish, Trumpetfish / pipefish, Anthias, Unicornfish, Anemones, Bluespotted Stingray""}",false,api
Ras EL Torfa - Abu Siyal,padi:12663,https://www.padi.com/dive-site/egypt/ras-el-torfa-abu-siyal/,"A few dives can be down in the area The boat moors in a natural lagoon that forms the most northern part of a sprawling bay. Here a sand strip that starts at 5mt separates the main reef from a series of beds that form a drop-off. Pufferfish and goatfish can be found on the sand patch and the drop off is covered in anthias and other small fish life. Exploring further south you could spot a turtle or two, but on the way back watch out at 9mt for one of the most picturesque pinnacles in this area, complete with a totally undamaged table coral that plays host to the secretive lemon coral goby","{""dive_types"": ""Pinnacle, Reef, Wall"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Paradise,padi:15272,https://www.padi.com/dive-site/egypt/paradise-8/,• Easy dive that does not present any kind of problem. • Varied and colorful landscape. • Great development of soft corals. • Richness of reef fauna. • Site suitable for night diving.,"{""dive_types"": ""Beach, Sandy bottom, Cavern"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Sharks Bay - House Reef,padi:15677,https://www.padi.com/dive-site/egypt/sharks-bay-house-reef/,"Our house reef gently slopes down in a series of ledges that makes it an that site for training dives. It is also a great site for photographers wanting to see the abundant marine life. Whale sharks and mantas visit this bay in the springtime; hence, where the name came from. Eagle rays, giant moray and Napoleon are very common here.","{""dive_types"": ""Beach, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Gasous Sogher,padi:16205,https://www.padi.com/dive-site/egypt/gasous-sogher/,"An easy entry and exit site, shore dive with a collection of soft and hard corals where you can meet a lot of marine life, clear water and quite dive site","{""dive_types"": ""Beach, Reef, Sandy bottom, Ocean"", ""common_sightings"": ""Stonefish, Sea turtle""}",false,api
Green Hole,padi:16206,https://www.padi.com/dive-site/egypt/green-hole/,"An easy entry and exit site, shore dive with a collection of soft and hard corals where you can meet a lot of marine life, clear water and quite dive site , remote location so you will not find a lot of diver most of the time it is our group only.","{""dive_types"": ""Beach, Ocean"", ""common_sightings"": ""Sea turtle, Squid, eagle rays, Dolphines""}",false,api
Saleem,padi:16215,https://www.padi.com/dive-site/egypt/saleem/,"An easy entry and exit site, shore dive with a collection of soft and hard corals where you can meet a lot of marine life, clear water and quite dive site , remote location so you will not find a lot of diver most of the time it is our group only.","{""dive_types"": ""Beach, Pinnacle, Reef, Channel"", ""common_sightings"": ""Stonefish, Lionfish, Dolphins, Sea turtle""}",false,api
Ras Um Sid,padi:17511,https://www.padi.com/dive-site/egypt/ras-um-sid/,"Ras Um Sid is possibly one of the most exciting Sharm el Sheikh local dive sites. It’s a site which has a bit of everything including mixed topography, the potential of pelagic sightings and fast currents. If there is very little current it can be dived as a mooring dive, but be careful that the current doesn’t pick up on the corner making it difficult to return to the exit point whether that is the boat or shore. Preferably it is dived as a semi-drift or drift dive. The dive starts with a steep wall which has a beautiful set of Gorgonian fan corals, it then transforms into a huge plateau. The current tends to whip divers around the corner and occasionally can push them out over the plateau. It is on the plateau that divers can often spot large pelagic species cruising by.","{""dive_types"": ""Beach, Drift, Reef, Wall"", ""common_sightings"": ""Napoleon fish, Eagle ray""}",false,api
Eel Garden Dive Urge,padi:17853,https://www.padi.com/dive-site/egypt/eel-garden-dive-urge/,"A beautiful sunlit sandy bottom covered in a field of Garden Eels. The reef hugging this slope is called Disneyworld locally as the colours and vibrance of the corals and Scholls of fish here. Sightings of Turtles, Eagle Rays as well as large schools of butterfly fish. A photographers paradise...just don&#x27;t kick up the sand!","{""dive_types"": ""Reef, Sandy bottom, Wall"", ""common_sightings"": ""Eagle ray, Hawksbill turtle, Garden eels, Octopus, Anemone fish, Trunk fish, Trevally""}",false,api
Makadi house reef,padi:18502,https://www.padi.com/dive-site/egypt/makadi-house-reef/,"The house reef at IDive Makadi Bay in front of Fort Arabesque Resort is one of the best dive site in this area and at the same time it&#x27;s a great place to learn to dive or to do some easy dives if you are already certified. IDive Makadi Bay house reef: The house reef is home to a large variety of marine life, including colorful fish, lion fish, pesci pagliaccio, maccarelli, pesci napoleoni, octopus, leopard ray, stone fish, eagle rays and more and more and very often even turtles. hard and soft corals. Perfect place for underwater photographers. The house reef is also a great place to learn about marine conservation. IDive Makadi Bay is very sensitive to the issue of the environment, becoming an active member of Greenfins for the protection of corals through sustainable tourism. It organizes house reef cleanups and offers a variety of educational programs that teach divers the importance of protecting the reef in Bay.","{""dive_types"": ""Beach, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Grand Makadi house reef,padi:20163,https://www.padi.com/dive-site/egypt/grand-makadi-house-reef/,"The house reef is home to a large variety of marine life, including colorful fish, lion fish, pesci pagliaccio, maccarelli, pesci napoleoni, octopus, leopard ray, stone fish, eagle rays and more and more and very often even turtles. hard and soft corals.","{""dive_types"": ""Beach, Drift, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
yolanda house reef,padi:20191,https://www.padi.com/dive-site/egypt/yolanda-house-reef/,"Yolanda Reef is the richest coral garden in Ras Mohammed and one of the world&#x27;s best dive sites. Shark and Yolanda reef has a small wall coming from the surface that forms a plateau from 12 to 20m. Many small pinnacles with colorful soft corals and abundant marine life can be found on the plateau. The ship Yolanda crashed on the reef in the 1980s and lay on its side until a storm pushed it over the edge and down to 180m. Some remains of the ship and its cargo still lie in shallow water. Yolanda carried toilets, bathtubs, and sinks, all now encrusted with corals and home to Blue Spotted Stingrays, Scorpion and Stone Fish, Giant Morays, and the resident Napoleon Wrasse.","{""dive_types"": ""Wreck, Drift, Pinnacle, Reef, Archaeological"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Ras Ghamila,padi:20808,https://www.padi.com/dive-site/egypt/ras-ghamila/,"Ras Ghamila is an interesting place for a fine semi drift or drift dive that is not too difficult. The dives here are usually easy and pleasant and allow you to observe many coral colonies and mixed fauna, both reef and pelagic","{""dive_types"": ""Drift, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Oberoi House Reed,padi:20851,https://www.padi.com/dive-site/egypt/oberoi-house-reed/,"The only and exclusive dive site in Hurghda Sahl Hasheesh. Oberoi House Reef is a beautiful dive site, as we have more than 5 dives around in wall over 1km. Multiple and varied dives up to a depth of 30 meters. The site consists of dives with the current, dives in the far south and far north, and coral garden dives in the middle of the site.","{""dive_types"": ""Beach, Drift, Reef, Sandy bottom, Wall, Channel"", ""common_sightings"": ""Triggerfish, Lionfish, Stonefish, Grouper, Seahorse, Butterflyfish, Manta ray, Electric ray, Turtle, Dolphins, Moray eel, Garden eels, Brain coral, green sea turtle, Walleye, Coral Reef""}",false,api
SS Thistlegorm,padi:21045,https://www.padi.com/dive-site/egypt/ss-thistlegorm/,"The SS Thistlegorm is one of the most famous wrecks in the world. Built in 1940, the SS Thistlegorm was a 126 meter long freighter, carrying military equipment during the World War II. The wreck attracts many divers for the amount of the cargo that can be seen and explored. Boots and motorcycles are visible in Hold No. 1. Trucks, armoured vehicles, motorcycles, Wellington boots, rifles, wings, engine exhaust rings and cylinders are visible in Hold No. 2. Off to the port side of the wreck level with the blast area can be found one of the steam locomotives which had been stored as deck cargo and the other locomotive is off the starboard side level with Hold No. 2.","{""dive_types"": ""Wreck"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Gabr el Bint,padi:21376,https://www.padi.com/dive-site/egypt/gabr-el-bint/,"Gabr el Bint ranks among one of the most attractive sites of North Sinai. With the access by boat, 4x4 or by camel, it is less frequently dived than the other dive sites in Dahab which has left this site in pristine condition. Gabr el Bint means &#x27;The Grave of the Girl&#x27; in Arabic. There are two dives possible here. The ledge is riddled with exquisite coral heads that attract numerous reef species, including swarms of anthias, scorpionfish, parrotfish, crocodilefish, surgeonfish, triggerfish, trumpetfish, stingrays and very often a turtle. At the end of the ledge usually is home to a shoal of black and white snappers and twinspot snappers hang here between 5m and 10m. One of the truly breathtaking dives in Dahab.","{""dive_types"": ""Drift, Reef, Wall"", ""common_sightings"": ""Parrotfish, Tuna, Stonefish, Grouper, Parrot fish, Trumpetfish / pipefish, Lionfish, Eagle ray, Rays, Sea turtle, Dolphins, Giant moray, Moray eel, Octopus, Nudibranch, Sea anemone, Coral, Reef Fish, Jellyfish, Frogfish, Bluespotted Stingray""}",false,api
Ras Ghamila,padi:22093,https://www.padi.com/dive-site/egypt/ras-ghamila-2/,"Situated near the southern tip of the Sinai Peninsula, Ras Ghamila is easily accessible from Sharm El-Sheikh, making it a popular destination for divers. The site is known for its diverse marine ecosystem, including vibrant coral reefs, a variety of fish species, and occasionally sightings of larger marine animals like turtles and dolphins. Visibility is generally good, often exceeding 20 meters, which allows for excellent underwater photography. The reefs at Ras Ghamila are rich in hard and soft corals, providing a stunning backdrop for divers and snorkelers alike. The best diving conditions are usually found between April and November when the water temperatures are warmer and marine life is more active.","{""dive_types"": ""Cave, Beach, Drift, Reef, Sea Loch"", ""common_sightings"": ""Scorpionfish, Jackfish, Napoleon fish, Sharks, Turtle, Moray eel, Reef Fish""}",false,api
Thistlegorm Wreck,padi:22103,https://www.padi.com/dive-site/egypt/thistlegorm-wreck/,"The SS Thistlegorm is one of the most famous wrecks in the world. Built in 1940, the SS Thistlegorm was a 126 meter long freighter, carrying military equipment during the World War II. The wreck attracts many divers for the amount of the cargo that can be seen and explored. Boots and motorcycles are visible in Hold No. 1. Trucks, armoured vehicles, motorcycles, Wellington boots, rifles, wings, engine exhaust rings and cylinders are visible in Hold No. 2. Off to the port side of the wreck level with the blast area can be found one of the steam locomotives which had been stored as deck cargo and the other locomotive is off the starboard side level with Hold No. 2.","{""dive_types"": ""Wreck"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
